timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
360772188,1574736282600090,372468265,1266671881,13066,31053,0.18200001,0.127246,1.029,1.3460001,0.69,1.27,64,6,1.3490001,-0.038000003,-1.3490001,-0.284,4.854798,0,3,1,15
360969504,1574736282800090,372468265,1266671843,13126,31112,0.18,0.09320529,1.0220001,1.3410001,0.69,1.27,64,6,1.8980001,-0.15,-1.8920001,-0.335,4.7102685,0,3,1,15
361165300,1574736283000090,372468260,1266671793,13199,31185,0.179,0.10797863,1.0170001,1.3360001,0.69,1.27,64,5,2.394,-0.35300002,-2.368,-0.24400002,4.647376,0,3,1,15
361369587,1574736283200090,372468255,1266671732,13279,31265,0.16100001,0.055859085,1.011,1.33,0.69,1.27,64,5,2.8690002,-0.39400002,-2.8420002,-0.31800002,4.589903,0,3,1,15
361572783,1574736283400090,372468246,1266671663,13447,31433,0.15900001,0.05809171,1.005,1.325,0.69,1.27,64,5,3.209,-0.508,-3.1680002,-0.577,4.571804,0,3,1,15
361772899,1574736283600090,372468230,1266671587,13670,31656,0.13700001,0.04710434,0.99600005,1.315,0.69,1.27,64,5,3.4870002,-0.763,-3.4020002,-0.62700003,4.522403,0,3,1,15
361965481,1574736283800090,372468220,1266671506,13739,31725,0.14,0.043114167,0.989,1.3100001,0.69,1.27,64,5,3.7310002,-0.47100002,-3.7010002,-0.28500003,4.5583572,0,3,1,15
362168743,1574736284000090,372468207,1266671420,13976,31963,0.15100001,0.04079969,0.98100007,1.3010001,0.69,1.27,74,11,3.8560002,-0.65000004,-3.801,-0.74100006,4.5497966,0,3,1,15
362381526,1574736284200090,372468197,1266671333,14095,32081,0.172,0.055043142,0.9760001,1.294,0.69,1.27,74,11,3.959,-0.499,-3.9280002,-0.572,4.5637245,0,3,1,15
362573512,1574736284400090,372468187,1266671244,14208,32194,0.14400001,0.041889645,0.97,1.289,0.69,1.27,74,11,4.056,-0.512,-4.0230002,-0.455,4.57811,0,3,1,15
