timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
393764584,20.973368,20.82765,32.224613,32.885815,0.0,491.6696,0.5614557,1.1620816,0.0,6,0,0,0,0,0,1,1,0,0,0
394268550,20.663225,20.870213,32.614178,31.942108,0.0,496.02295,0.55874187,1.1603354,0.0,6,0,0,0,0,0,1,1,0,0,0
394772815,20.88614,20.863047,32.785583,32.297295,0.0,500.59027,0.5560241,1.1606096,0.0,6,0,0,0,0,0,1,1,0,0,0
395276531,21.031519,20.897018,29.762579,31.660837,0.0,504.97684,0.55338,1.1590675,0.0,6,0,0,0,0,0,1,1,0,0,0
395781006,21.380428,21.029291,25.337147,29.02842,0.0,508.82333,0.5509983,1.1532998,0.0,6,0,0,0,0,0,1,1,0,0,0
396284822,21.167206,21.092634,28.82763,28.399094,0.0,512.7085,0.548816,1.1505408,0.0,6,0,0,0,0,0,1,1,0,0,0
396776547,21.409506,21.201538,25.835789,26.684814,0.0,516.2061,0.5468734,1.1455913,0.0,6,0,0,0,0,0,1,1,0,0,0
397280828,20.760145,21.06091,33.81403,30.78238,0.0,520.8485,0.5447032,1.1516856,0.0,6,0,0,0,0,0,1,1,0,0,0
397785353,20.808605,21.007671,32.427185,31.522032,0.0,525.3513,0.54239994,1.1538001,0.0,6,0,0,0,0,0,1,1,0,0,0
398289327,20.750452,20.9446,32.972572,32.41415,0.0,529.9639,0.5400155,1.1565498,0.0,6,0,0,0,0,0,1,1,0,0,0
398793592,20.798912,20.9423,31.803886,31.997772,0.0,534.3937,0.5376335,1.1565914,0.0,6,0,0,0,0,0,1,1,0,0,0
399297343,20.876448,20.911201,34.063347,32.46342,0.0,538.95764,0.535224,1.1579468,0.0,6,0,0,0,0,0,1,1,0,0,0
399801548,20.953983,20.896381,31.64806,32.37773,0.0,543.508,0.5327753,1.158657,0.0,6,0,0,0,0,0,1,1,0,0,0
400305307,20.973368,20.88059,30.83777,32.223206,0.0,548.0168,0.53032726,1.1596583,0.0,6,0,0,0,0,0,1,1,0,0,0
400809277,20.818296,20.857866,33.829613,32.57994,0.0,552.5761,0.52787095,1.1607894,0.0,6,0,0,0,0,0,1,1,0,0,0
401313313,21.08967,20.87963,30.136557,31.805891,0.0,556.99036,0.5254262,1.1599547,0.0,6,0,0,0,0,0,1,1,0,0,0
401817308,20.866756,20.904575,32.75442,31.317108,0.0,561.2947,0.52308446,1.158931,0.0,6,0,0,0,0,0,1,1,0,0,0
402309457,20.64384,20.819113,35.12296,33.227444,0.0,566.02826,0.5206506,1.1627101,0.0,6,0,0,0,0,0,1,1,0,0,0
402814108,20.798912,20.788034,31.679226,33.509777,0.0,570.7875,0.51808685,1.1640599,0.0,6,0,0,0,0,0,1,1,0,0,0
403318187,20.818296,20.830036,31.180586,32.025265,0.0,575.11444,0.5156567,1.1622932,0.0,6,0,0,0,0,0,1,1,0,0,0
403822349,20.120476,20.851744,40.483337,31.541176,0.0,579.4474,0.51330775,1.1622859,0.0,6,0,0,0,0,0,1,1,0,0,0
404314125,21.651804,21.148514,20.50657,25.432053,0.0,582.4292,0.5114245,1.1502182,0.0,6,0,0,0,0,0,1,1,0,0,0
404818290,20.198011,21.006355,42.711636,30.611221,0.0,587.0467,0.5094171,1.1565176,0.0,6,0,0,0,0,0,1,1,0,0,0
405322385,20.0914,20.693258,40.888485,37.463303,0.0,593.0285,0.5067097,1.1694458,0.0,6,0,0,0,0,0,1,1,0,0,0
405826156,20.23678,20.543749,38.862762,38.91256,0.0,598.6539,0.50373876,1.1753732,0.0,6,0,0,0,0,0,1,1,0,0,0
406330100,20.275547,20.46804,39.17441,39.01219,0.0,604.1298,0.50065666,1.178405,0.0,6,0,0,0,0,0,1,1,0,0,0
406834153,20.294931,20.379047,39.73538,39.955948,0.0,609.80664,0.49743012,1.1822875,0.0,6,0,0,0,0,0,1,1,0,0,0
407326898,20.256165,20.387627,37.88106,38.773968,0.0,614.9935,0.4943078,1.1816633,0.0,6,0,0,0,0,0,1,1,0,0,0
