timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
440478221,0.1526044,0.29355046,0.48331875
440502212,0.14863344,0.2889689,0.4845245
440526164,0.15922268,0.29698664,0.4845245
440550824,0.1473098,0.29011428,0.49537602
440574732,0.15525171,0.2832419,0.48331875
440598831,0.16054633,0.29584125,0.48090726
440622614,0.1671646,0.29355046,0.47970155
440646297,0.16054633,0.2832419,0.47608435
440670934,0.15922268,0.29125968,0.4845245
440694546,0.14995709,0.2889689,0.4929646
440718222,0.14995709,0.29355046,0.48693594
440742426,0.15789902,0.29584125,0.4784958
440766247,0.15657535,0.29927745,0.48693594
440790899,0.15525171,0.28553268,0.482113
440814186,0.16054633,0.29813206,0.47126144
440839087,0.15922268,0.2878235,0.48693594
440862235,0.15392806,0.2878235,0.4784958
440886306,0.15525171,0.29469585,0.4700557
440911000,0.1526044,0.30042285,0.48331875
440934401,0.14995709,0.29011428,0.48693594
440958870,0.1473098,0.30156824,0.47608435
440982884,0.15922268,0.29813206,0.48573023
441006368,0.16054633,0.30042285,0.47126144
441030978,0.15392806,0.29011428,0.47970155
441054384,0.16319364,0.29698664,0.4652328
441078833,0.16186999,0.29698664,0.47126144
441102405,0.15922268,0.2889689,0.4881417
441126288,0.16054633,0.29927745,0.48090726
441150987,0.15922268,0.30042285,0.4784958
441175177,0.14995709,0.29125968,0.4881417
441198888,0.1473098,0.29584125,0.48573023
441223690,0.16186999,0.2889689,0.47608435
441246751,0.16584094,0.29584125,0.48090726
441270565,0.15392806,0.2832419,0.4748786
441294555,0.16451728,0.29240507,0.47246715
441318339,0.15789902,0.29125968,0.48090726
441342386,0.15789902,0.29240507,0.48331875
441366202,0.15128075,0.2889689,0.49175888
441390765,0.14466248,0.29240507,0.49537602
441414129,0.14995709,0.2843873,0.4929646
441439117,0.16054633,0.2889689,0.48573023
441462215,0.17113556,0.2878235,0.4748786
441486150,0.16584094,0.2889689,0.46884996
441511150,0.16451728,0.2843873,0.4748786
441535508,0.15922268,0.29813206,0.48331875
441559522,0.16451728,0.29698664,0.47246715
441582716,0.16054633,0.2878235,0.48090726
441606352,0.16186999,0.29927745,0.48090726
441630965,0.15525171,0.29813206,0.47246715
441654259,0.1698119,0.29469585,0.4616156
441678356,0.16451728,0.2843873,0.47970155
441702350,0.17113556,0.29469585,0.47126144
441726374,0.16848825,0.29927745,0.4772901
441751142,0.15128075,0.29927745,0.47126144
441775017,0.15128075,0.28553268,0.48090726
441798866,0.15128075,0.2889689,0.48090726
441822355,0.14863344,0.29469585,0.48331875
441846727,0.15525171,0.29698664,0.47608435
441871118,0.1526044,0.29240507,0.4736729
441895541,0.15657535,0.29584125,0.47970155
441918418,0.15392806,0.29813206,0.48090726
441939508,0.1526044,0.29813206,0.46764424
441966127,0.15128075,0.30271363,0.482113
441990878,0.15128075,0.30500442,0.4784958
442015484,0.15789902,0.31302223,0.47246715
442039093,0.1526044,0.3198946,0.47246715
442062244,0.16319364,0.31073144,0.47126144
442086151,0.15392806,0.30844063,0.4748786
442110899,0.15922268,0.30500442,0.47126144
442134417,0.16054633,0.3187492,0.4652328
442158341,0.15657535,0.3072952,0.4664385
442182379,0.15392806,0.3164584,0.4700557
442206317,0.14863344,0.31187683,0.48331875
442230318,0.14466248,0.3176038,0.46402705
442254605,0.14863344,0.31302223,0.48090726
442278936,0.1473098,0.30500442,0.4700557
442302580,0.14863344,0.30385903,0.4700557
442326281,0.14995709,0.30042285,0.4772901
442350888,0.15789902,0.315313,0.4664385
442374901,0.14333883,0.30500442,0.4736729
442398240,0.14201517,0.30844063,0.46402705
442422303,0.15525171,0.30958605,0.4784958
442446367,0.14863344,0.3061498,0.4700557
442470736,0.15392806,0.30844063,0.47246715
442494325,0.1671646,0.30385903,0.46764424
442518361,0.16319364,0.30385903,0.4784958
442542897,0.15128075,0.30042285,0.47608435
442566366,0.16451728,0.30385903,0.47126144
442591377,0.14863344,0.30500442,0.47608435
442615436,0.14466248,0.29927745,0.4881417
442639218,0.14995709,0.30500442,0.482113
442663548,0.15128075,0.29698664,0.47970155
442686519,0.14333883,0.29927745,0.48090726
442710845,0.1526044,0.29011428,0.4748786
442734361,0.15392806,0.30042285,0.47970155
442758362,0.16451728,0.29927745,0.4700557
442831946,0.15789902,0.29813206,0.4748786
442854585,0.14863344,0.29355046,0.48090726
442878773,0.14863344,0.29011428,0.47970155
442902277,0.15657535,0.29584125,0.4845245
442926126,0.16319364,0.29584125,0.47126144
442950709,0.16451728,0.29813206,0.47608435
442974737,0.15525171,0.29469585,0.482113
442998890,0.16186999,0.29125968,0.47970155
443022233,0.15525171,0.29125968,0.47608435
443046277,0.15128075,0.2878235,0.49175888
443070367,0.15392806,0.2878235,0.4929646
443094754,0.14995709,0.2809511,0.49175888
443118512,0.15525171,0.2866781,0.49175888
443142378,0.16451728,0.2809511,0.49417034
443166282,0.16319364,0.28553268,0.4748786
443191159,0.16319364,0.2809511,0.4881417
443214768,0.16584094,0.28553268,0.48331875
443238433,0.15657535,0.29240507,0.482113
443262429,0.16319364,0.28553268,0.4929646
443286707,0.1473098,0.28553268,0.4881417
443311026,0.1526044,0.2809511,0.49055314
443335539,0.15922268,0.2866781,0.48693594
443359524,0.16319364,0.29240507,0.4700557
443383570,0.16186999,0.2843873,0.4772901
443407510,0.16848825,0.29240507,0.47126144
443432495,0.16186999,0.29927745,0.4881417
443455094,0.15657535,0.29125968,0.48573023
443479394,0.16054633,0.29125968,0.4772901
443503491,0.15657535,0.29240507,0.48693594
443524440,0.15128075,0.29355046,0.48573023
443548448,0.16584094,0.29469585,0.4748786
443575902,0.16319364,0.2889689,0.48573023
443600470,0.16451728,0.29698664,0.47126144
443624135,0.17113556,0.29698664,0.4748786
443647487,0.1671646,0.30271363,0.48693594
443668439,0.1671646,0.29927745,0.48090726
443692439,0.1671646,0.29469585,0.48090726
