timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
513862031,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
514869395,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
515869543,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
516870596,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
517870923,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
518882213,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
519891812,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
520899862,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
521912151,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
522919926,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
523919964,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
524932455,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
525937526,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
526940612,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
527948625,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
528957335,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
529957456,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
530966142,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
531975206,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
532982033,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
533991317,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
534999421,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
536006866,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
537015366,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
538015718,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
539020535,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
540028693,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
541029189,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
542040448,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
543041972,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
544053381,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
545062235,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
546067846,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
547078108,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
548086167,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
549092691,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
550099079,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
551111203,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
552118707,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
552963984,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
553973517,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
554980390,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
555988660,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
556988966,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
557993986,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
558997540,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
559045790,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
560046045,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
561054002,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
562054680,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
563058394,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
564066707,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
565067594,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
566078354,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
567083699,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
568084410,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
