timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
642660227,642660082,0.0021260018,0.06229827,0.092782736,0.37684333,0.0,0.0,0.0,1.0
642764365,642764105,0.04457493,0.0451094,0.10377119,0.3845736,0.0,0.0,0.0,1.0
642868422,642868082,-0.0016435352,0.06968384,0.09977966,0.38660315,0.0,0.0,0.0,1.0
642968358,642968082,0.043328345,0.06368129,0.094406866,0.3888083,0.0,0.0,0.0,1.0
643072398,643072082,0.020438075,0.06795685,0.09113433,0.38671097,0.0,0.0,0.0,1.0
643172388,643172082,0.0119591635,0.07579757,0.09369961,0.38297936,0.0,0.0,0.0,1.0
643276380,643276082,0.042491212,0.066229194,0.10030808,0.3808538,0.0,0.0,0.0,1.0
643380216,643380082,0.026268978,0.043291487,0.1001573,0.37417114,0.0,0.0,0.0,1.0
643480220,643480082,0.049338788,0.043725614,0.094265476,0.38481623,0.0,0.0,0.0,1.0
643580338,643580082,0.046749216,0.06758196,0.09414656,0.38793784,0.0,0.0,0.0,1.0
643684373,643684082,0.014838729,0.06790573,0.086202316,0.38477585,0.0,0.0,0.0,1.0
643784216,643784082,-0.0012652315,0.05805639,0.09072736,0.38851234,0.0,0.0,0.0,1.0
643885013,643884883,0.020292688,0.056882415,0.10187026,0.38440886,0.0,0.0,0.0,1.0
643989172,643988904,0.002905962,0.070605,0.09633102,0.37767062,0.0,0.0,0.0,1.0
644193135,644192882,0.016130857,0.05828519,0.095016986,0.36866045,0.0,0.0,0.0,1.0
645009166,645008882,-0.01961438,0.06659155,0.09136609,0.39447558,0.0,0.0,0.0,1.0
645113233,645112883,-0.023059845,0.04631374,0.09570473,0.4033873,0.0,0.0,0.0,1.0
645213165,645212882,-0.019321213,0.04592699,0.09356751,0.40065998,0.0,0.0,0.0,1.0
645313062,645312882,-0.0025705136,0.061463907,0.1002016,0.39793837,0.0,0.0,0.0,1.0
645417010,645416882,0.0141353365,0.059555165,0.10472532,0.40661266,0.0,0.0,0.0,1.0
645517074,645516882,0.005494687,0.07396467,0.10420902,0.40608725,0.0,0.0,0.0,1.0
645621106,645620899,-0.006927119,0.078601986,0.103656985,0.39677924,0.0,0.0,0.0,1.0
645725131,645724925,-0.0014118655,0.06916073,0.10511911,0.39915475,0.0,0.0,0.0,1.0
645825173,645824882,0.024591416,0.050643016,0.1029001,0.40036568,0.0,0.0,0.0,1.0
645929183,645928882,0.031083062,0.058419626,0.0943561,0.39551222,0.0,0.0,0.0,1.0
646029150,646028884,0.013103727,0.056457974,0.10243292,0.39221907,0.0,0.0,0.0,1.0
646129938,646129682,0.00816487,0.069235735,0.09856763,0.39704257,0.0,0.0,0.0,1.0
646229985,646229711,0.026533317,0.053007435,0.101082556,0.39858925,0.0,0.0,0.0,1.0
646333813,646333682,-0.009861388,0.05288357,0.09739633,0.39385897,0.0,0.0,0.0,1.0
646433818,646433683,0.03242205,0.04629162,0.0928982,0.4014947,0.0,0.0,0.0,1.0
646537973,646537687,0.0101225255,0.052852307,0.08875391,0.41093376,0.0,0.0,0.0,1.0
646637971,646637682,-0.0048308354,0.06179224,0.090280816,0.41393313,0.0,0.0,0.0,1.0
646737905,646737682,0.026349897,0.050171353,0.0955479,0.425924,0.0,0.0,0.0,1.0
646842011,646841687,0.03674913,0.058059223,0.09263418,0.42863542,0.0,0.0,0.0,1.0
