timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
583967099,0.22563617,-0.09522887,-0.0064252466,0.817652,-0.045850325,0.013209013,-0.5737321,0.90585804,0.00472709,0.011689381,-0.423394,1
583999067,0.1272604,-0.13307352,-0.13624997,0.8177182,-0.04633269,0.013831575,-0.57358426,0.90585804,0.00472709,0.011689381,-0.423394,1
584031375,0.044545352,-0.121875875,-0.15769514,0.81777704,-0.046625018,0.014596192,-0.5734578,0.90585804,0.00472709,0.011689381,-0.423394,1
584063140,-0.25355962,0.053568564,0.01737458,0.8178908,-0.046321403,0.0154035445,-0.5732989,0.90585804,0.00472709,0.011689381,-0.423394,1
584095011,-0.3308038,0.20467797,0.082762964,0.81788504,-0.045814108,0.015981358,-0.57333225,0.90585804,0.00472709,0.011689381,-0.423394,1
584127169,-0.12529996,0.20137124,0.033036288,0.8178119,-0.04539998,0.016088353,-0.57346636,0.90585804,0.00472709,0.011689381,-0.423394,1
584159190,-0.10264471,0.020043615,0.16925877,0.8178066,-0.04554915,0.016808355,-0.5734416,0.90585804,0.00472709,0.011689381,-0.423394,1
584191655,0.16564634,-0.08615918,-0.11713212,0.81758016,-0.04557521,0.017516661,-0.5737411,0.90585804,0.00472709,0.011689381,-0.423394,1
584223154,0.21982786,0.070587605,-0.13179184,0.8174233,-0.045925803,0.01854149,-0.5739044,0.90585804,0.00472709,0.011689381,-0.423394,1
584254950,-0.033401158,-0.06924733,-0.052141685,0.8173614,-0.046525165,0.019209761,-0.5739222,0.90585804,0.00472709,0.011689381,-0.423394,1
584286957,0.029055828,-0.2468064,-0.08382421,0.8172425,-0.046987485,0.019192772,-0.5740546,0.90585804,0.00472709,0.011689381,-0.423394,1
584319128,-0.20231247,-0.039658282,0.019697288,0.8171972,-0.047796592,0.019338457,-0.5740472,0.90585804,0.00472709,0.011689381,-0.423394,1
584351413,-0.12871253,-0.16144606,0.009274626,0.8171447,-0.0480873,0.018788544,-0.5741161,0.90585804,0.00472709,0.011689381,-0.423394,1
584383057,-0.08499075,0.021174692,0.017935645,0.81710124,-0.047803212,0.018594062,-0.5742079,0.90585804,0.00472709,0.011689381,-0.423394,1
584415017,-0.0939117,0.28788948,0.11342045,0.8170791,-0.047843736,0.018720431,-0.5742319,0.90585804,0.00472709,0.011689381,-0.423394,1
584446945,0.13284704,0.078413755,0.05694577,0.8169968,-0.048137885,0.018045954,-0.5743462,0.90585804,0.00472709,0.011689381,-0.423394,1
584479011,0.24939598,-0.054466955,-0.035772756,0.8168868,-0.04805928,0.017268296,-0.5745329,0.90585804,0.00472709,0.011689381,-0.423394,1
584511611,0.2187394,-0.1443763,-0.022236602,0.81678617,-0.047694456,0.016457174,-0.5747302,0.90585804,0.00472709,0.011689381,-0.423394,1
584543183,0.20929621,-0.2264403,-0.2046452,0.8166351,-0.047347628,0.015761487,-0.574993,0.90585804,0.00472709,0.011689381,-0.423394,1
584574909,-0.08291192,-0.09003604,-0.089860275,0.8166194,-0.04690149,0.01565175,-0.57505476,0.90585804,0.00472709,0.011689381,-0.423394,1
584606986,-0.2863705,0.19695221,0.10214747,0.81663257,-0.046277482,0.015516684,-0.57509035,0.90585804,0.00472709,0.011689381,-0.423394,1
584638927,-0.10610056,0.18911402,0.11433396,0.81654483,-0.04597228,0.015294691,-0.5752453,0.90585804,0.00472709,0.011689381,-0.423394,1
584671367,0.019671481,0.06473164,0.055596266,0.8163699,-0.04587463,0.01522708,-0.5755033,0.90585804,0.00472709,0.011689381,-0.423394,1
584702943,0.36720768,-0.105697066,0.014183767,0.81625026,-0.04575583,0.01504891,-0.5756868,0.90585804,0.00472709,0.011689381,-0.423394,1
584735118,0.49540913,-0.3100814,-0.20534648,0.816071,-0.046041567,0.0148925735,-0.57592237,0.90585804,0.00472709,0.011689381,-0.423394,1
584767137,-0.037322283,-0.25850117,-0.17902401,0.81592447,-0.046926532,0.015440605,-0.5760442,0.90585804,0.00472709,0.011689381,-0.423394,1
584799382,-0.24505918,0.052238323,0.023105266,0.8159339,-0.047622655,0.015809517,-0.5759636,0.90585804,0.00472709,0.011689381,-0.423394,1
584831220,-0.28306705,0.08847378,0.0659937,0.8158639,-0.04825511,0.015711926,-0.5760127,0.90585804,0.00472709,0.011689381,-0.423394,1
584862924,-0.27616355,0.056244884,0.062123124,0.8157437,-0.048611715,0.015668616,-0.5761542,0.90585804,0.00472709,0.011689381,-0.423394,1
584895670,0.008227177,0.092403494,0.126375,0.81572217,-0.048824575,0.015141483,-0.57618093,0.90585804,0.00472709,0.011689381,-0.423394,1
584927090,0.42367983,-0.21918935,-0.061638888,0.81562936,-0.049125865,0.01405627,-0.576314,0.90585804,0.00472709,0.011689381,-0.423394,1
584959006,0.2742312,-0.43433762,-0.2143562,0.8154541,-0.049674213,0.0135723455,-0.5765266,0.90585804,0.00472709,0.011689381,-0.423394,1
584991603,-0.10956105,-0.061397307,-0.06291388,0.81542784,-0.05034712,0.013748468,-0.5765012,0.90585804,0.00472709,0.011689381,-0.423394,1
585023163,-0.27323312,0.16026261,0.02942445,0.8153882,-0.050686046,0.013785208,-0.57652676,0.90585804,0.00472709,0.011689381,-0.423394,1
585054953,-0.0733882,0.038751543,0.042818554,0.81537694,-0.050669808,0.013465892,-0.5765517,0.90585804,0.00472709,0.011689381,-0.423394,1
585086994,-0.008995853,0.22956266,0.070257485,0.81532,-0.050688047,0.01381734,-0.5766222,0.90585804,0.00472709,0.011689381,-0.423394,1
585119068,0.16880998,0.06556543,0.041056626,0.8152923,-0.050517622,0.013718704,-0.57667875,0.90585804,0.00472709,0.011689381,-0.423394,1
585151398,0.4077335,-0.2899823,-0.11285529,0.81522113,-0.050175197,0.01378682,-0.5768076,0.90585804,0.00472709,0.011689381,-0.423394,1
585182962,0.36824358,-0.16260229,-0.23441097,0.8151453,-0.049613565,0.014171216,-0.5769539,0.90585804,0.00472709,0.011689381,-0.423394,1
