timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
344435826,-142.14093,35.93,103043.99,1.224333
344446837,-141.97711,35.93,103041.99,1.2243093
344467876,-141.97711,35.93,103041.99,1.2243093
344480668,-142.38931,35.93,103047.0,1.2243688
344491954,-141.73402,35.93,103039.0,1.2242738
344514842,-142.06166,35.94,103042.99,1.2243212
344525820,-141.89784,35.94,103041.0,1.2242975
344536494,-142.2255,35.94,103044.99,1.224345
344558880,-141.48564,35.93,103036.0,1.2242382
344569897,-142.06166,35.93,103042.99,1.2243212
344580997,-141.97711,35.93,103041.99,1.2243093
344603807,-141.89784,35.93,103041.0,1.2242975
344616525,-141.73402,35.93,103039.0,1.2242738
344627851,-141.40637,35.93,103035.0,1.2242262
344651850,-141.48564,35.94,103036.0,1.2242382
344664503,-141.40637,35.94,103035.0,1.2242262
344675895,-141.73402,35.94,103039.0,1.2242738
344700471,-141.64946,35.94,103038.0,1.2242619
344712772,-141.40637,35.94,103035.0,1.2242262
344723810,-141.48564,35.94,103036.0,1.2242382
344747908,-141.23726,35.92,103032.99,1.2242024
344761142,-140.74579,35.92,103027.0,1.2241312
344772955,-140.99417,35.92,103029.99,1.2241668
344795879,-141.15799,35.93,103031.99,1.2241905
344808433,-141.40637,35.93,103035.0,1.2242262
344821018,-140.99417,35.93,103029.99,1.2241668
344844470,-140.90962,35.93,103028.99,1.2241548
344856369,-140.74579,35.93,103027.0,1.2241312
344867949,-140.83035,35.93,103028.0,1.224143
344889437,-140.90962,35.93,103028.99,1.2241548
344900527,-140.58197,35.93,103025.0,1.2241074
344910897,-140.74579,35.93,103027.0,1.2241312
344932437,-141.07344,35.94,103030.99,1.2241787
344944377,-140.90962,35.94,103028.99,1.2241548
344955863,-140.90962,35.94,103028.99,1.2241548
344976453,-141.32182,35.94,103034.0,1.2242143
344988369,-141.15799,35.94,103031.99,1.2241905
345000967,-140.90962,35.94,103028.99,1.2241548
345024427,-140.74579,35.94,103027.0,1.2241312
345036279,-140.99417,35.94,103029.99,1.2241668
345048483,-140.58197,35.94,103025.0,1.2241074
345069937,-140.99417,35.94,103029.99,1.2241668
345080610,-141.15799,35.94,103031.99,1.2241905
345092231,-140.83035,35.94,103028.0,1.224143
345113810,-140.58197,35.94,103025.0,1.2241074
345124450,-140.83035,35.94,103028.0,1.224143
345136612,-140.5027,35.94,103024.0,1.2240956
345160557,-140.66652,35.95,103026.0,1.2241193
345172590,-140.5027,35.95,103024.0,1.2240956
345184363,-140.66652,35.95,103026.0,1.2241193
345205800,-140.74579,35.94,103027.0,1.2241312
345216439,-140.74579,35.94,103027.0,1.2241312
345228235,-141.15799,35.94,103031.99,1.2241905
345249971,-140.66652,35.95,103026.0,1.2241193
345260013,-140.90962,35.95,103028.99,1.2241548
345270986,-140.41815,35.95,103023.0,1.2240837
345292441,-140.41815,35.95,103023.0,1.2240837
345304130,-140.58197,35.95,103025.0,1.2241074
345314836,-140.16977,35.95,103019.99,1.2240479
345336956,-140.90962,35.95,103028.99,1.2241548
345347791,-140.58197,35.95,103025.0,1.2241074
345357542,-140.90962,35.95,103028.99,1.2241548
345378947,-140.5027,35.95,103024.0,1.2240956
345389797,-140.74579,35.95,103027.0,1.2241312
345401306,-140.5027,35.95,103024.0,1.2240956
345421526,-140.66652,35.95,103026.0,1.2241193
345433739,-140.33888,35.95,103022.0,1.2240717
345444318,-140.33888,35.95,103022.0,1.2240717
345645447,-140.58197,35.96,103025.0,1.2241074
345656520,-140.0905,35.96,103018.99,1.2240361
345677436,-140.25432,35.969997,103021.0,1.2240599
345688499,-140.33888,35.969997,103022.0,1.2240717
345700482,-139.84212,35.969997,103016.0,1.2240005
345723859,-140.83035,35.969997,103028.0,1.224143
345734439,-140.41815,35.969997,103023.0,1.2240837
345744532,-140.58197,35.969997,103025.0,1.2241074
345768570,-140.16977,35.969997,103019.99,1.2240479
345780521,-139.59903,35.969997,103013.0,1.2239648
345792935,-140.5027,35.969997,103024.0,1.2240956
345813498,-140.74579,35.969997,103027.0,1.2241312
345824566,-140.33888,35.969997,103022.0,1.2240717
345835871,-140.33888,35.969997,103022.0,1.2240717
345857441,-140.58197,35.969997,103025.0,1.2241074
345867932,-140.16977,35.969997,103019.99,1.2240479
345878879,-139.92667,35.969997,103016.99,1.2240123
345900134,-140.25432,35.969997,103021.0,1.2240599
345912369,-140.58197,35.969997,103025.0,1.2241074
345922006,-139.92667,35.969997,103016.99,1.2240123
345944742,-140.33888,35.969997,103022.0,1.2240717
345955936,-140.16977,35.969997,103019.99,1.2240479
345966832,-140.16977,35.969997,103019.99,1.2240479
345988360,-140.33888,35.969997,103022.0,1.2240717
345998905,-140.83035,35.969997,103028.0,1.224143
346008695,-140.41815,35.969997,103023.0,1.2240837
346032415,-140.41815,35.969997,103023.0,1.2240837
346044465,-140.16977,35.969997,103019.99,1.2240479
346054832,-140.0905,35.969997,103018.99,1.2240361
346075940,-140.16977,35.969997,103019.99,1.2240479
346085546,-140.00594,35.969997,103017.99,1.2240242
346096439,-139.84212,35.969997,103016.0,1.2240005
346117437,-140.00594,35.969997,103017.99,1.2240242
346128922,-140.16977,35.969997,103019.99,1.2240479
346140622,-139.92667,35.969997,103016.99,1.2240123
346163927,-140.41815,35.969997,103023.0,1.2240837
346173444,-140.33888,35.969997,103022.0,1.2240717
346184578,-140.00594,35.969997,103017.99,1.2240242
346206830,-140.0905,35.98,103018.99,1.2240361
346217454,-139.84212,35.98,103016.0,1.2240005
346227932,-140.58197,35.98,103025.0,1.2241074
346248650,-139.84212,35.98,103016.0,1.2240005
346260683,-140.90962,35.98,103028.99,1.2241548
346272751,-140.66652,35.98,103026.0,1.2241193
346296402,-140.25432,35.98,103021.0,1.2240599
346308371,-140.0905,35.98,103018.99,1.2240361
346320734,-140.66652,35.98,103026.0,1.2241193
346344745,-140.5027,35.98,103024.0,1.2240956
346356142,-140.58197,35.98,103025.0,1.2241074
346368429,-140.0905,35.98,103018.99,1.2240361
346392473,-140.0905,35.98,103018.99,1.2240361
346403979,-140.16977,35.98,103019.99,1.2240479
346416607,-140.33888,35.98,103022.0,1.2240717
346442134,-140.33888,35.98,103022.0,1.2240717
346452001,-140.41815,35.98,103023.0,1.2240837
346464926,-139.18683,35.98,103007.99,1.2239053
346488441,-139.92667,35.98,103016.99,1.2240123
346500396,-140.0905,35.98,103018.99,1.2240361
346512444,-139.92667,35.98,103016.99,1.2240123
346534824,-140.00594,35.969997,103017.99,1.2240242
346545287,-140.16977,35.969997,103019.99,1.2240479
346555952,-139.84212,35.969997,103016.0,1.2240005
346576430,-140.66652,35.98,103026.0,1.2241193
346588254,-139.92667,35.98,103016.99,1.2240123
346598947,-140.0905,35.98,103018.99,1.2240361
346620660,-140.74579,35.98,103027.0,1.2241312
346633590,-139.6783,35.98,103014.0,1.2239767
346644160,-139.84212,35.98,103016.0,1.2240005
346665602,-140.25432,35.98,103021.0,1.2240599
346676440,-140.33888,35.98,103022.0,1.2240717
346686860,-139.4352,35.98,103011.0,1.2239411
346708002,-140.66652,35.98,103026.0,1.2241193
346718804,-139.4352,35.98,103011.0,1.2239411
346728516,-139.4352,35.98,103011.0,1.2239411
346752341,-140.25432,35.98,103021.0,1.2240599
346762816,-140.5027,35.98,103024.0,1.2240956
346772461,-139.27138,35.98,103009.0,1.2239174
346796249,-140.41815,35.989998,103023.0,1.2240837
346806785,-139.92667,35.989998,103016.99,1.2240123
346816446,-140.5027,35.989998,103024.0,1.2240956
346837943,-140.16977,35.989998,103019.99,1.2240479
346848545,-140.41815,35.989998,103023.0,1.2240837
346860131,-139.6783,35.989998,103014.0,1.2239767
346881438,-139.84212,35.989998,103016.0,1.2240005
346892442,-140.16977,35.989998,103019.99,1.2240479
346904411,-139.76285,35.989998,103015.0,1.2239887
346926803,-139.92667,35.989998,103016.99,1.2240123
346937443,-140.0905,35.989998,103018.99,1.2240361
346947909,-140.33888,35.989998,103022.0,1.2240717
346969951,-139.4352,35.989998,103011.0,1.2239411
346980164,-140.0905,35.989998,103018.99,1.2240361
346990894,-139.6783,35.989998,103014.0,1.2239767
347012004,-139.84212,36.0,103016.0,1.2240005
347022766,-140.0905,36.0,103018.99,1.2240361
347034024,-139.18683,36.0,103007.99,1.2239053
347056311,-140.25432,36.0,103021.0,1.2240599
347067941,-140.00594,36.0,103017.99,1.2240242
347078898,-139.84212,36.0,103016.0,1.2240005
347100963,-139.76285,36.0,103015.0,1.2239887
347110877,-140.25432,36.0,103021.0,1.2240599
347123948,-139.023,36.0,103005.99,1.2238816
347145992,-139.92667,36.0,103016.99,1.2240123
347155983,-140.83035,36.0,103028.0,1.224143
347166814,-139.92667,36.0,103016.99,1.2240123
347188439,-140.41815,36.0,103023.0,1.2240837
347200238,-139.18683,36.0,103007.99,1.2239053
347210846,-139.76285,36.0,103015.0,1.2239887
347233600,-140.58197,36.0,103025.0,1.2241074
347244602,-139.6783,36.0,103014.0,1.2239767
347256550,-139.59903,36.0,103013.0,1.2239648
347278946,-139.35065,35.989998,103010.0,1.2239292
347289730,-140.00594,35.989998,103017.99,1.2240242
347300714,-139.4352,35.989998,103011.0,1.2239411
347324133,-139.84212,36.0,103016.0,1.2240005
347334812,-139.59903,36.0,103013.0,1.2239648
347344954,-139.84212,36.0,103016.0,1.2240005
347365761,-139.6783,36.0,103014.0,1.2239767
347376338,-139.6783,36.0,103014.0,1.2239767
347386285,-138.77463,36.0,103003.0,1.2238461
347406859,-138.69536,36.01,103002.0,1.2238342
347417438,-140.74579,36.01,103027.0,1.2241312
347428440,-139.35065,36.01,103010.0,1.2239292
347449895,-140.25432,36.01,103021.0,1.2240599
347460333,-140.16977,36.01,103019.99,1.2240479
347470447,-139.27138,36.01,103009.0,1.2239174
347492312,-139.4352,36.01,103011.0,1.2239411
347502840,-139.27138,36.01,103009.0,1.2239174
347512453,-139.18683,36.01,103007.99,1.2239053
347534851,-138.93845,36.01,103004.99,1.2238697
347544951,-138.85918,36.01,103003.99,1.2238579
347555986,-140.33888,36.01,103022.0,1.2240717
347580688,-138.69536,36.0,103002.0,1.2238342
347590967,-139.4352,36.0,103011.0,1.2239411
347600571,-139.51447,36.0,103012.0,1.223953
347622819,-139.023,36.01,103005.99,1.2238816
347633274,-139.18683,36.01,103007.99,1.2239053
347644220,-139.10226,36.01,103006.99,1.2238935
347667936,-139.023,36.01,103005.99,1.2238816
347678931,-140.58197,36.01,103025.0,1.2241074
347688471,-139.6783,36.01,103014.0,1.2239767
347710931,-140.66652,36.01,103026.0,1.2241193
347722370,-139.27138,36.01,103009.0,1.2239174
347732210,-138.85918,36.01,103003.99,1.2238579
347752489,-138.93845,36.02,103004.99,1.2238697
347763941,-139.10226,36.02,103006.99,1.2238935
347774908,-140.00594,36.02,103017.99,1.2240242
347796802,-139.51447,36.01,103012.0,1.223953
347809755,-140.00594,36.01,103017.99,1.2240242
347821200,-140.33888,36.01,103022.0,1.2240717
347844955,-139.4352,36.01,103011.0,1.2239411
347857471,-139.10226,36.01,103006.99,1.2238935
347868979,-139.6783,36.01,103014.0,1.2239767
347893542,-140.25432,36.01,103021.0,1.2240599
347904983,-139.4352,36.01,103011.0,1.2239411
347914910,-139.92667,36.01,103016.99,1.2240123
347938843,-139.6783,36.01,103014.0,1.2239767
347949304,-138.85918,36.01,103003.99,1.2238579
347962888,-140.16977,36.01,103019.99,1.2240479
347986534,-139.35065,36.01,103010.0,1.2239292
347997438,-139.27138,36.01,103009.0,1.2239174
348010406,-138.93845,36.01,103004.99,1.2238697
348030570,-139.4352,36.01,103011.0,1.2239411
348041949,-138.69536,36.01,103002.0,1.2238342
348053127,-140.33888,36.01,103022.0,1.2240717
348077311,-138.93845,36.01,103004.99,1.2238697
348090391,-140.00594,36.01,103017.99,1.2240242
348101146,-139.92667,36.01,103016.99,1.2240123
348125313,-139.84212,36.01,103016.0,1.2240005
348137279,-139.4352,36.01,103011.0,1.2239411
348149736,-140.16977,36.01,103019.99,1.2240479
348173710,-140.5027,36.02,103024.0,1.2240956
348186940,-138.44698,36.02,102999.0,1.2237985
348197909,-138.77463,36.02,103003.0,1.2238461
348221567,-140.33888,36.01,103022.0,1.2240717
348234523,-138.6108,36.01,103001.0,1.2238222
348245619,-139.023,36.01,103005.99,1.2238816
348269164,-140.0905,36.01,103018.99,1.2240361
348283200,-139.59903,36.01,103013.0,1.2239648
348293127,-138.77463,36.01,103003.0,1.2238461
348313139,-138.93845,36.01,103004.99,1.2238697
348324813,-140.5027,36.01,103024.0,1.2240956
348337358,-139.18683,36.01,103007.99,1.2239053
348361543,-139.6783,36.02,103014.0,1.2239767
348373661,-140.00594,36.02,103017.99,1.2240242
348385153,-140.0905,36.02,103018.99,1.2240361
348409134,-140.00594,36.01,103017.99,1.2240242
348422027,-140.90962,36.01,103028.99,1.2241548
348433161,-140.00594,36.01,103017.99,1.2240242
348457158,-140.00594,36.01,103017.99,1.2240242
348469125,-140.5027,36.01,103024.0,1.2240956
348481984,-139.51447,36.01,103012.0,1.223953
348505801,-139.84212,36.01,103016.0,1.2240005
348516748,-139.59903,36.01,103013.0,1.2239648
348529311,-140.0905,36.01,103018.99,1.2240361
348549256,-140.00594,36.01,103017.99,1.2240242
348562096,-140.0905,36.01,103018.99,1.2240361
348573512,-139.51447,36.01,103012.0,1.223953
348594582,-139.6783,36.01,103014.0,1.2239767
348605296,-140.99417,36.01,103029.99,1.2241668
348618572,-138.93845,36.01,103004.99,1.2238697
348645921,-139.51447,36.01,103012.0,1.223953
348657021,-138.53152,36.01,103000.0,1.2238104
348667006,-139.92667,36.01,103016.99,1.2240123
348691200,-140.83035,36.01,103028.0,1.224143
348701456,-140.25432,36.01,103021.0,1.2240599
348714878,-139.35065,36.01,103010.0,1.2239292
348738988,-140.74579,36.01,103027.0,1.2241312
348748781,-140.41815,36.01,103023.0,1.2240837
348762057,-139.59903,36.01,103013.0,1.2239648
348782528,-141.64946,36.02,103038.0,1.2242619
348794558,-140.25432,36.02,103021.0,1.2240599
348805775,-140.00594,36.02,103017.99,1.2240242
348828831,-139.76285,36.02,103015.0,1.2239887
348844820,-140.25432,36.02,103021.0,1.2240599
